"Citation","Year","Number","Title","Resource type","URL"
"Codjoe et al.","2020","1","The Implications of Extreme Weather Events for Attaining the Sustainable Development Goals in Sub-Saharan Africa","Journal article","https://www.frontiersin.org/articles/10.3389/fclim.2020.592658/full"
"Cohn et al.","2013","1","Cattle ranching intensification in Brazil can reduce global greenhouse gas emissions by sparing land from deforestation.","Journal article","https://www.pnas.org/doi/10.1073/pnas.1307163111#:~:text=We%20find%20that%20cattle%20ranching,to%20limit%20deforestation%20(4)."
"Concern Worldwide","2017","1","Crop Weather and Climate Vulnerability Profiles","Article","crop_weather_and_climate_vulnerability_profiles_.pdf (concern.net)"
"Connolly-Boutin et al.","2016","1","Climate change, food security, and livelihoods in sub-Saharan Africa","Article","https://link.springer.com/article/10.1007/s10113-015-0761-x"
"Coulibaly et al.","2022","1","Africa in the New Trade Environment : Market Access in Troubled Times","Journal article","https://openknowledge.worldbank.org/handle/10986/36884"
"Coulibaly et al.","2022","2","Africa in the New Trade Environment : Market Access in Troubled Times. Washington, DC: World Bank","World Bank Report","https://openknowledge.worldbank.org/handle/10986/36884 License: CC BY 3.0 IGO.”"
"Covarrubias and Thach","2015","1","Wines of Baja Mexico: Aqualitative study examining viticulture, enology, and marketing practices","Journal article","https://www.sciencedirect.com/science/article/pii/S2212977415000307
"
"Cramb et al.","2015","1","Trajectories of rice-farming households in mainland Southeast Asia","Book Chapter","https://hdl.handle.net/10568/73054"
"Crippa et al.","2022","1","Conflict as a Cause of Migration","Report","https://mpra.ub.uni-muenchen.de/112327/1/MPRA_paper_112327.pdf"
"Curran et al.","2018","1","Policy brief :Policy coherence for sustainable development in sub-Saharan Africa","Journal article","https://www.lse.ac.uk/granthaminstitute/wp-content/uploads/2018/07/Policy-coherence-for-sustainable-development-in-sub-saharan-Africa_Curran-et-al.pdf"
"DAFF","2014","1","Production guideline: Sugarcane","Report","https://www.dalrrd.gov.za/Portals/0/Brochures%20and%20Production%20guidelines/sugar%20cane%20prodocution%20%20guideline.pdf"
"Daloz et al.","2021","1","Direct and indirect impacts of climate change on wheat yield in the Indo-Gangetic plain in India","Journal article","https://www.sciencedirect.com/science/article/pii/S266615432100034X"
"Danso-Abbeam et al.","2018","1","Agricultural extension and its effects on farm productivity and income: insight from Northern Ghana","Journal article","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-018-0225-x"
"Dave et al.","2017","1","Beyond borders: Making transport work for African trade","Report","https://www.theigc.org/reader/beyond-borders-making-transport-work-for-african-trade/poor-roads-increase-cost-transporting-goods-long-distances-factors-may-significant/"
"Davis et al.","2012","1","The Impact of Climate Change on Indigenous Arabica Coffee (Coffea arabica): Predicting Future Trends and Identifying Priorities","Journal article","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0047981"
"de Andrade et al.","2017","1","Flood Risk Mapping in the Amazon","Book","https://www.intechopen.com/chapters/55628"
"Debela et al.","2015","1","Perception of climate change and its impact by smallholders in pastoral/agropastoral systems of Borana, South Ethiopia","Journal article","https://springerplus.springeropen.com/articles/10.1186/s40064-015-1012-9"
"Deep et al.","2018","1","Rice-based cropping systems for enhancing productivity of food grains in India: decadal experience of AICRP.","Journal article","https://icar.org.in/sites/default/files/Rice%20based%20cropping%20systems.pdf"
"Deepak and Prasanta","2017","1","Reducing Postharvest Losses during Storage of Grain Crops to Strengthen Food Security in Developing Countries","Journal","10.3390/foods6010008"
"Deepak and Prasanta","2017","2","Reducing Postharvest Losses during Storage of Grain Crops to Strengthen Food Security in Developing Countries","Article","https://doi.org/10.3390%2Ffoods6010008"
"Demelash","2021","1","Adaptation Potential of Current Wheat Cultivars and Planting Dates under the Changing Climate in Ethiopia","Article","https://www.mdpi.com/2073-4395/12/1/37/htm"
"Department of Agriculture and Cooperation and Farmers Welfare","2021","1","Rice","Webpage","https://farmer.gov.in/cropstaticsrice.aspx"
"Department of Agriculture and Cooperation and Farmers Welfare","2021","2","Wheat","Webpage","https://farmer.gov.in/m_cropstaticswheat.aspx"
"Department of Agriculture and Fisheries QLD","2015","1","About Cocoa","Website","https://www.daf.qld.gov.au/business-priorities/agriculture/plants/fruit-vegetable/fruit-vegetable-crops/cocoa"
"Department of Agriculture, Forestry and Fisheries","2009","1","Barley","Report","https://www.nda.agric.za/docs/Brochures/barley.pdf"
"Department of Agriculture, Forestry and Fisheries","2010","1","Soya beans - Production guideline.","Report","https://www.nda.agric.za/docs/Brochures/Soya-beans.pdf"
"Descheemaeker et al.","2010","1","Improving water productivity in mixed crop–livestock farming systems of sub-Saharan Africa","Journal article","https://www.sciencedirect.com/science/article/abs/pii/S0378377409003424"
"Devendra","2012","1","Rainfed areas and animal agriculture in Asia: the wanting agenda for transforming productivity growth and rural poverty. Asian-Australasian journal of animal sciences","Journal","https://doi.org/10.5713/ajas.2011.r.09"
"Devendra","2012","2","Rainfed Areas and Animal Agriculture in Asia: The Wanting Agenda for Transforming Productivity Growth and Rural Poverty","Asian Journal","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092921/"
"Devkota and Yigezu","2020","1","Explaining yield and gross margin gaps for sustainable intensification of the wheat-based systems in a Mediterranean climate.","Journal article","https://www.sciencedirect.com/science/article/abs/pii/S0308521X20308076"
"Devkota et al.","2022","1","Chapter Five - Conservation Agriculture in the drylands of the Middle East and North Africa (MENA) region: Past trend, current opportunities, challenges and future outlook.","Journal article","https://www.researchgate.net/publication/357793884_Conservation_Agriculture_in_the_Drylands_of_the_Middle_East_and_North_Africa_MENA_Region_Past_Trend_Current_Opportunities_Challenges_and_Future_Outlook"
"Devkota et al.","2022","2","Chapter Five - Conservation Agriculture in the drylands of the Middle East and North Africa (MENA) region: Past trend, current opportunities, challenges and future outlook.","Journal article","https://doi.org/10.1016/bs.agron.2021.11.001"
"Dhanda et al.","2022","1","Emerging Issues and Potential Opportunities in the Rice–Wheat Cropping System of North-Western India","Journal article","https://www.frontiersin.org/articles/10.3389/fpls.2022.832683/full"
"Dhawan","2017","1","Water and agriculture in India. In Background paper for the South Asia expert panel during the Global Forum for Food and Agriculture","Report","https://www.oav.de/fileadmin/user_upload/5_Publikationen/5_Studien/170118_Study_Water_Agriculture_India.pdf"
"DI Rodríguez et al.","2016","1","Food security and livestock: The case of Latin America and the Caribbean",,"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202016000100001"
"Diana et al.","2022","1","Farmers’ Adaptation Strategies to Climate Change in Southeast Asia: A Systematic Literature Review","Journal article","https://www.mdpi.com/2071-1050/14/6/3639"
"Diaz et al.","2020","1","Effect of temperature – humidity index on the onset of post- partum ovarian activity and reproductive behavior in Bos indicus cows","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7212737/"
"Dinh and Dang","2022","1","Potential risks of climate variability on rice cultivation regions in the Mekong Delta, Vietnam","Journal article","https://doi.org/10.1590/1807-1929/agriambi.v26n5p348-355"
"Diogo et al.","2022","1","Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","IMF Report","https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2022/09/13/Climate-Change-and-Chronic-Food-Insecurity-in-Sub-Saharan-Africa-522211"
"Diogo et al.","2022","2","Climate Change and Chronic Food Insecurity in Sub-Saharan Africa","Journal","https://www.elibrary.imf.org/view/journals/087/2022/016/article-A001-en.xml"
"Diop et al.","2022","1","Soil and Water Conservation in Africa: State of Play and Potential Role in Tackling Soil Degradation and Building Soil Health in Agricultural Lands","Journal article","https://www.mdpi.com/2071-1050/14/20/13425/pdf"
"Dixon et al.","2001","1","Farming Systems and Poverty","Report","https://www.fao.org/3/Y1860E/y1860e10.htm"
"Dixon et al.","2001","2","Farming systems and poverty: Improving farmers' livelihoods in a changing world","Book","https://www.fao.org/3/ac349e/ac349e00.htm"
"Dixon et al.","2001","4","Farming systems and poverty: Improving farmers' livelihoods in a changing world","Book","https://www.fao.org/3/ac349e/ac349e00.htm"
"Dixon et al.","2001","5","Farming Systems and Poverty; Improving Farmers' Livelihoods In A Changing World.","Book","https://www.fao.org/3/Y1860E/y1860e00.htm"
"Dixon et al.","2001","6","Farming Systems and Poverty: Improving Farmers’ Livelihoods in a Changing World. FAO and World Bank.","FAO Report","https://www.fao.org/3/Y1860E/y1860e00"
"Dixon et al.","2001","7","Farming Systems and Poverty: IMPROVING FARMERS' LIVELIHOODS IN A CHANGING WORLD","FAO Report","https://www.fao.org/3/Y1860E/y1860e00.htm"
"Dixon et al.","2001","3","Farming systems and poverty: Improving farmers' livelihoods in a changing world","Book","https://hdl.handle.net/10568/109061"
"Dixon et al.","2020","1","Farming Systems and Food Security in Africa","Book","https://cgspace.cgiar.org/handle/10568/109061"
"Dixon et al.","2020","2","Farming systems and poverty: Improving farmers' livelihoods in a changing world","Book Chapter","https://hdl.handle.net/10568/109061"
"Dixon et al.","2020","3","Farming systems and poverty: Improving farmers' livelihoods in a changing world","Book Chapter",
"Donat et al.","2014","1","Changes in extreme temperature and precipitation in the Arab region: long-term trends and variability related to ENSO and NAO.","Research article","https://rmets.onlinelibrary.wiley.com/doi/10.1002/joc.3707"
"Donatti et al.","2018","1","Vulnerability of smallholder farmers to climate change in Central America and Mexico: current knowledge and research gaps","Journal article","https://www.tandfonline.com/doi/full/10.1080/17565529.2018.1442796"
"Donoso","2021","1","Management of Water Resources in Agriculture in Chile and its Challenges","Journal article","https://www.researchgate.net/publication/357814386_Management_of_Water_Resources_in_Agriculture_in_Chile_and_its_Challenges
"
"Douglas","2006","1","The Local Drivers of Land Degradation in South‐East Asia","Journal","https://www.researchgate.net/publication/229794564_The_Local_Drivers_of_Land_Degradation_in_South-East_Asia"
"DST","2020","1","Climate Vulnerability Assessment for Adaptation in India Using A Common Framework","Report","https://dst.gov.in/sites/default/files/Full%20Report%20%281%29.pdf"
"du Plessis","2003","1","Maize production","Report","https://www.arc.agric.za/arc-gci/Fact%20Sheets%20Library/Maize%20Production.pdf"
"Durrell","2018","1","Investing in resilience: addressing climate-induced displacement in the MENA region.","Report","https://repo.mel.cgiar.org/handle/20.500.11766/8760"
"Dwarakish et al.","2009","1","Coastal vulnerability assessment of the future sea level rise in Udupi coastal zone of Karnataka state, west coast of India. Ocean and Coastal Management","Report","https://www.deepdyve.com/lp/elsevier/coastal-vulnerability-assessment-of-the-future-sea-level-rise-in-udupi-xARCjJtI2c
"
"Dévora-Isiordia et al.","2018","1","Using Desalination to Improve Agricultural Yields: Success Cases in Mexico","Journal article","https://www.intechopen.com/chapters/61066"
"Earth Observatory","2018","1","Winter in the andes","Website","https://earthobservatory.nasa.gov/images/92588/winter-in-the-andes"
"Eash et al.","2019","1","Factors contributing to maize and bean yield gaps in Central America vary with site and agroecological conditions","Journal article","https://www.researchgate.net/publication/335664390_Factors_contributing_to_maize_and_bean_yield_gaps_in_Central_America_vary_with_site_and_agroecological_conditions"
"Ebingfer and Vandycke","2015","1","Moving toward climate-resilient transport: the World Bank’s experience from building adaptation into programs.","Book","https://policycommons.net/artifacts/1290121/moving-toward-climate-resilient-transport/1891943/"
"Echeverria and Terton","2016","1","Review of current and planned adaptation action in Ethiopia
","Report","http://hdl.handle.net/10625/55864"
"ECLAC","2021","1","Implications of gender roles in natural resource governance in Latin America and the Caribbean.","ECLAC Report","https://www.cepal.org/en/insights/implications-gender-roles-natural-resource-governance-latin-america-and-caribbean"
"Edeme et al.","2020","1","Impact of Trade Restrictions in European and Sub-Saharan Regions","Journal article","https://journals.sagepub.com/doi/full/10.1177/0974929220969221"
"Ehui and Pender","2005","1","Resource degradation, low agricultural productivity, and poverty in sub-Saharan Africa: pathways out of the spiral","Journal article","https://doi.org/10.1111/j.0169-5150.2004.00026.x"
