"D","R"
"farming_systems.Description, farming_systems.Farm size (ha)","farming_systems.Agro-ecological zone"
"farming_systems.Description, farming_systems.Farm size (ha)","farming_systems.Total area (m ha)"
"farming_systems.Farm size (ha), farming_systems.Irrigated area (m ha)","farming_systems.Cattle population (m head)"
"farming_systems.Farm size (ha), farming_systems.Irrigated area (m ha)","farming_systems.Cultivated area (m ha)"
"farming_systems.Agricultural population (m), farming_systems.Cattle population (m head)","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farming system","farming_systems.Irrigated area (m ha)"
"farming_systems.Farm size (ha), farming_systems.Total population (m)","farming_systems.Cattle population (m head)"
"farming_systems.Cattle population (m head), farming_systems.Irrigated area (m ha)","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farming system","farming_systems.Total population (m)"
"farming_systems.Agro-ecological zone, farming_systems.Farm size (ha)","farming_systems.Cultivated area (m ha)"
"farming_systems.Agricultural population (m), farming_systems.Farm size (ha)","farming_systems.Cultivated area (m ha)"
"farming_systems.Agro-ecological zone, farming_systems.Farm size (ha)","farming_systems.Macro region"
"farming_systems.Agro-ecological zone, farming_systems.Cattle population (m head)","farming_systems.Cultivated area (m ha)"
"farming_systems.Agro-ecological zone, farming_systems.Farm size (ha)","farming_systems.Irrigated/rainfed"
"farming_systems.Cattle population (m head), farming_systems.Total population (m)","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farming system","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farming system","farming_systems.Agricultural population (m)"
"farming_systems.Agro-ecological zone, farming_systems.Farm size (ha)","farming_systems.Cattle population (m head)"
"farming_systems.Agricultural population (m), farming_systems.Farm size (ha)","farming_systems.Cattle population (m head)"
"farming_systems.Farm size (ha), farming_systems.Total population (m)","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Macro region","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed","farming_systems.Agricultural population (m)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Macro region","farming_systems.Total population (m)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed","farming_systems.Cultivated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed","farming_systems.Irrigated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed","farming_systems.Total population (m)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Macro region","farming_systems.Irrigated area (m ha)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Macro region","farming_systems.Agricultural population (m)"
"farming_systems.Cattle population (m head), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed, farming_systems.Macro region","farming_systems.Agro-ecological zone"
"farming_systems.Cultivated area (m ha), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed, farming_systems.Macro region","farming_systems.Agro-ecological zone"
"farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed, farming_systems.Macro region, farming_systems.Total population (m)","farming_systems.Agro-ecological zone"
"farming_systems.Farm size (ha), farming_systems.Irrigated area (m ha), farming_systems.Irrigated/rainfed, farming_systems.Macro region","farming_systems.Agro-ecological zone"
"farming_systems.Agricultural population (m), farming_systems.Farm size (ha), farming_systems.Irrigated/rainfed, farming_systems.Macro region","farming_systems.Agro-ecological zone"
