"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Increase in drought events","Leads to","Increased incidence of bushfires","Increased droughts leads to increased incidence of bushfires i.e  the unprecedented 2019-2020 wildfire season.","(WMO,2021)","Biophysical","EAP Temperate Mixed","Connection-7"
"Increase in drought events","Leads to","Land degradation","Increased Drought events leads to increased land degradation in East Asia.","(K.Zahedi et al ., 2020)","Biophysical","EAP Temperate Mixed","Connection-8"
"Increase in strong winds","Leads to","Increased flooding
","Increase in strong winds causes Monsoon season which brings very heavy rains causing massive flooding and landslides,which can lead to a high number of casualties. ","(ICRC, 2021)","Wind related; Rainfall related","EAP Temperate Mixed","Connection-9"
"Increase in average temperatures","Leads to","Increase in diseases","Increasing temperatures will lead to an increase in diseases and pests that will eventually impact crop yields and livestock production."," (FAO, 2011)","`Temperature Related","EAP Temperate Mixed","Connection-10"
"Increase in frost events","Leads to","Reduced livestock productivity","Increased in frost events can cause important drops in forage production, such as the 60 percent deficit of green fodder during the 2003.","FAO, 2015","Temperature related;Biophysical ","EAP Temperate Mixed","Connection-11"
"Increase in frost events","Leads to","Crop stress/damage/mortality","The projected increase in the frost event causes sensitivity in plant reproduction and plant structure vegetation leading to crop stress or damage. ","FAO, 2015","Temperature related; Biophysical","EAP Temperate Mixed","Connection-12"
"Shorter growing season","Leads to","Unpredictable planting period"," Changes in the length of the growing season can have both positive and negative effects on the yield and prices of particular crops, by causing unpredictable planting periods. ","(Hen-I Lin et al., 2022)","Season related","EAP Temperate Mixed","Connection-13"
"Increase in extreme rainfall events","Leads to","Soil erosion","The potential impacts of heavy precipitation include crop damage, soil erosion, and an increase in flood risk due to heavy rains.","(Nithin Coca, 2020)","Rainfall  related ","EAP Temperate Mixed","Connection-14"
"Increase in extreme rainfall events","Leads to","Reduced crop productivity/failure","Changes in rainfall patterns can increase the likelihood of crop failure and result in production declines.","(Nithin Coca, 2020)","Rainfall related","EAP Temperate Mixed","Connection-15"
"Rising sea levels","Leads to","Landslide events","Dangers of sea-level rise include, land loss from the permanent inundation of low-lying coastal areas.","(WMO,2021)","Marine related","EAP Temperate Mixed","Connection-16"
"Rising sea levels","Leads to","Damage to infrastructure","Sea level rise, coupled with storm surge, will continue to increase the risk of major coastal impacts on transportation infrastructure, including both temporary and permanent flooding of airports, ports and harbors, roads, rail lines, tunnels, and bridges.","(WMO,2021)","Marine related","EAP Temperate Mixed","Connection-17"
"Increase in tropical cyclones/hurricanes","Leads to","Landslide events","Tropical cyclones, also known as typhoons or hurricanes, are among the most destructive weather phenomena.","(WMO,2021)","Marine related","EAP Temperate Mixed","Connection-18"
"Increase in hailstorms","Leads to","Landslide events","More frequent and intense rainfall events such as hailstorms due to climate change could cause  landslide events. ","Petley, Dave, 2010","Marine related","EAP Temperate Mixed","Connection-19"
"Increase in hailstorms","Leads to","Damage to infrastructure","The probability of reported hail damage to roofs, windows, and vehicles strongly increases as hail size exceeds 5 cm.","Petley, Dave, 2010","Marine related","EAP Temperate Mixed","Connection-20"
"Increase in hailstorms","Leads to","Reduced crop productivity/failure","Hailstorm can damage the various plant parts, including foliage, branches, stems, fruits, and seeds, and extensive damage to forests, leading to reduced crop production.","Petley, Dave, 2010","Marine related","EAP Temperate Mixed","Connection-21"
"Increase in strong winds","Leads to","Damage to infrastructure","According to the IPCC's simulations, Asia, for example, is expected to experience damage to urban infrastructure due to increase in strong winds.","Takashi Sekiyama, 2022","Biophysical related","EAP Temperate Mixed","Connection-22"
"Increase in strong winds","Leads to","Landslide events","Strong winds increase turbulence in the atmosphere and also cause soil erosion leading to landslide events.","Takashi Sekiyama, 2022","Biophysical related","EAP Temperate Mixed","Connection-23"
"Increase in strong winds","Leads to","Reduced crop productivity/failure","Strong winds damage crops by flattening small grain  through lodging, hence reducing productivity.","Takashi Sekiyama, 2022","Biophysical related","EAP Temperate Mixed","Connection-24"
" "," "," "," "," "," ","EAP Temperate Mixed","Connection-25"
"Increase in frost events","Leads to","Increase in food insecurity","Maize and wheat production will be impaired by increasing frost events leading to increased food insecurity.","(U Grote et al., 2021)","Temperature related;Socio-economic","EAP Temperate Mixed","Connection-26"
"Shorter growing season","Leads to","Loss of income","Shorter growing seasons could indicate reduced productivity, hence loss of income.","(V. Anbumozhi et al., 2012)","Season Related; Socio -economic","EAP Temperate Mixed","Connection-27"
"Increase in hailstorms","Leads to","Increase in food prices","Climate stimuli such as hailstorms leads to increased wheat and maize prices due to increase in the prices of fertilizers.","(WorldBank, 2022)","Temperature related;Governance","EAP Temperate Mixed","Connection-28"
"Increase in extreme rainfall events","Leads to","Increase in poverty","Extreme rainfall causes flooding that destroys crops and livestock leading to increase in poverty.","(World Bank,2020)","Rainfall Related;Finance","EAP Temperate Mixed","Connection-29"
"Rising sea levels","Leads to","Increase in migration","In 2018, the total number of IDP due to natural hazards were 2.4 million, out of which 590,000 were refugees and 1.8 million were IDP.","(IDMC,2019b)","Weather and environment","EAP Temperate Mixed","Connection-30"
"Increase in tropical cyclones/hurricanes","Leads to","Increase in food insecurity","Tropical cyclones wash saltwater onto agricultural land making it unproductive, which causes short term food shortage and long term food insecuriy in the region.","(FAO, 2011)","Biophysical;Socio-economic","EAP Temperate Mixed","Connection-31"
"Increase in drought events","Leads to","Increase in food insecurity","Drought affects the four dimension of food security; availability, stability, access and utilization.","(FAO, 2017)","Weather; Socio-economic","EAP Temperate Mixed","Connection-32"
"Shorter growing season","Leads to","Increase in food insecurity","Shorter growing seasons due to climate impacts leads to increased food insecurity.","(V. Anbumozhi et al., 2012)","Season Related; Socio -economic","EAP Temperate Mixed","Connection-33"
"Increase in tropical cyclones/hurricanes","Leads to","Increase in migration","Different migration responses emerge from sudden-onset disasters – such as cyclones, which immediately displace people.","(FAO, 2011)","Maritime Related;Socioeconomic","EAP Temperate Mixed","Connection-34"
