"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Landslide events","Impact","Biophysical"," "," "," "," "," ","EAP Temperate Mixed"
"Damage to infrastructure","Impact","Biophysical"," "," "," "," "," ","EAP Temperate Mixed"
"Increase in food insecurity","Impact","Socioeconomic","Food insecurity-In the Northern Sub-System  because cropping is possible only during the summer, wheat  and other cereals are grown concurrently and compete for cultivated land leading to  lower yields due to adverse climatic conditions.Low wheat and ceareal production leads to food insecurity.","(J.Dixon et al.,2001)","Socio-economic"," "," ","EAP Temperate Mixed"
"Increase in food prices","Impact","Socioeconomic","Increase in food prices due to competition from imported goods.","(J.Dixon et al.,2001)","Socio-economic"," "," ","EAP Temperate Mixed"
"Loss of income","Impact","Socioeconomic","Households in the region have small farm size , leading to low family income.","(J.Dixon et al.,2001)","Socio-economic"," "," ","EAP Temperate Mixed"
"Increase in poverty","Impact","Socioeconomic","The region experience modest poverty levels due to low average incomes. East Asia & Pacific poverty rate for 2019 was 22.60%, a 2.1% decline from 2018.","(J.Dixon et al.,2001): (World Bank,2021)","Socio-economic"," "," ","EAP Temperate Mixed"
"Increase in migration","Impact","Socioeconomic","Increasing migration to cities in China has created labour shortages at crucial times in the farming calendar.","(J.Dixon et al.,2001)","Socio-economic"," "," ","EAP Temperate Mixed"
"Increase in malnutrition","Impact","Socioeconomic"," "," ","Socio-economic"," "," ","EAP Temperate Mixed"
"Competition for resources","Impact","Socioeconomic"," "," ","Socio-economic"," "," ","EAP Temperate Mixed"
"Increase in livestock mobility","Impact","Socioeconomic"," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"High poverty levels 






","Vulnerability","Human capital, gender and agricultural knowledge","The agrisystem is vulnerable to  moderate poverty levels.","(G. Thapa and R. Gaiha, 2011)","Finance"," "," ","EAP Temperate Mixed"
"Crop is highly susceptible to diseases ","Vulnerability","Human capital, gender and agricultural knowledge","Maize and wheat are vulnerable to diseases which affect reproduction.","(H. R. Gautam et al ., 2013)","Pest and diseases"," "," ","EAP Temperate Mixed"
"Animal/breed is highly susceptible to diseases ","Vulnerability","Human capital, gender and agricultural knowledge","The animals are showing clinical signs of disease and are more susceptible to heat stress in East Asia and Pacific","(C.M. Godde et al., 2021)","Pest and diseases"," "," ","EAP Temperate Mixed"
"Reliance on rainfed agriculture","Vulnerability","Human capital, gender and agricultural knowledge"," 12 to 93% of the people live in rainfed areas, and 26 to 84% of the arable land and 5 to 41% of the agricultural output comes from these areas. It is estimated that 70 to 90% of the ruminant livestock (buffaloes, cattle, goats and sheep) are found in the rainfed mixed farms.","(Devendra C. ,2012)","Weather and environment"," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"Inadequate climate information services","Vulnerability","Institutions and policies","Smallholder farmers especially in the rural areas do not have adequate information on climate change. ","(V. Anbumozhi et al., 2012)","Capacity Building"," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"Low access to markets","Vulnerability","Economic, financial and markets","Pacific island countries need to invest in niche markets, upgrade their transport infrastructure, and improve access to trade to foster sustainable economic growth.","(W. Juswanto and A. Zulfiqar,2016)","Infrastructure"," "," ","EAP Temperate Mixed"
"Unstable commodity prices","Vulnerability","Economic, financial and markets"," Demand pressure for pulses led to the  increase in their relative price index. In East Asia, the relative increase in the prices of pulses was much higher than of other basic food, such as cereals and beef. For example, during 1981-2001, pulses price index in India drifted 32% higher compared to wheat prices index. ","(Mubarik Ali et al.,2005)","Governance"," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"High prevalence of land degradation","Vulnerability","Sensitivity/
susceptibility to harm","The capacity of the regions environment to sustain economic growth and livelihoods across the region is under serious threat from wasteful resource use and depletion, widespread ecosystem degradation and pollution, and human-made climate change. ","(ESCAP, 2018)","Weather and environment"," "," ","EAP Temperate Mixed"
"Cultivation area prone to frost","Vulnerability","Sensitivity/
susceptibility to harm","Climate calamities often live in areas prone to natural disasters such as frost. More frequent extreme events will create both a humanitarian and a food crisis.","(UNCTAD, 2013)","Weather and environment"," "," ","EAP Temperate Mixed"
"Frequent bushfires","Vulnerability","Sensitivity/
susceptibility to harm"," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"Lack of irrigation infrastructure ","Vulnerability","Lack of capacity to cope and adapt","The region is vulnerable to inadequate irrigation facilities.","(G. Thapa and S. Hessel, 2016)","Infrastructure"," "," ","EAP Temperate Mixed"
"High poverty levels 






","Vulnerability","Lack of capacity to cope and adapt","Seventy-five percent of the people living in rural East Asia and the Pacific are poor and struggling to afford food.","(A Bauer., 2008) ","Finance: Location specific"," "," ","EAP Temperate Mixed"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt","About 43 to 88% of the human population depends on agriculture for their livelihoods, of which 12 to 93% of the people live in rainfed areas in the region.","(Devendra C. ,2012)","Weather and environment"," "," ","EAP Temperate Mixed"
"Low access to credit","Vulnerability","Lack of capacity to cope and adapt","Financial inclusion is relatively low in Asian communities.","(ADB, 2008)","Finance"," "," ","EAP Temperate Mixed"
"Lack of willingness to invest in sustainable agricultural practices","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","EAP Temperate Mixed"
"Animal/breed is highly susceptible to pests","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"Implement reforestation practices","Adaptation option","Natural capital","The Asia–Pacific region is particularly vulnerable to climate change given its large population, high biodiversity, and large number of forest-dependent communities and therefore the need for reforestation practices.","(G. Wang et al., 2019)","Ecosystem; Community level; Policy level"," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
" "," "," "," "," "," "," "," ","EAP Temperate Mixed"
"Structural adjustments","Adaptation option","Physical capital","Developing economies across East Asia and Pacific are undergoing an important set of structural and demographic changes i.e fast growth rates have coincided with urbanization, population ageing and accelerated structural transformation out of agriculture.","(Brescian .F. et al.,  2019)","Institutions and policy; Policy level;  Partnership required"," "," ","EAP Temperate Mixed"
