ID,"Label","FS name",FS macro region,"Type-1","Description"
146,"Risk to farmers of food insecurity due to Climate Change","Temperate Mixed",EAP,"Risk","An estimated 375.8 million people in the region faced hunger in 2020, which is nearly 54 million more people than in 2019."
147,"Risk to farmers of loss of livelihoods due to Climate Change","Temperate Mixed",EAP,"Risk","Farmers in temperate mixed farming system are at a risk of losing livelihoods due to impacts of climate change. Changes in rainfall and temperature affect the suitability of certain areas for crop production thereby resulting in significant shifts in livelihoods."
148,"Risk to farmers of chronic poverty due to Climate Change ","Temperate Mixed",EAP,"Risk","70% of the poor people live in rural areas In Asia. Although every region of Asia has made considerable progress in reduction of rural poverty in the last decade, the problem remains acute. The problem has been exacerbated due to the Triple-F (food, fuel and financial) crises and this has made meeting of MDG 1 of halving extreme poverty  more challenging."
149,"Increase in drought events","Upland Intensive Mixed",EAP,"Hazard","The East Asian and Pacific Islands region is experiencing changes to the intensity, severity, duration and onset of drought. Further, the El Niño Southern Oscillation is known to cause severe localised droughts in the Pacific Islands. Future projections indicate an increase in drought events for China, Laos, Vietnam and north-eastern Thailand in particular, with an increase in extreme dry spells in Malaysia. "
150,"Increase in tropical cyclones/hurricanes","Upland Intensive Mixed",EAP,"Hazard","The East Asian and Pacific Islands region is experiencing changes to the intensity, severity, duration and onset of tropical cyclones with projections indicating increasing tropical cyclones in Vietnam and the Philippines. The rate of intensification and the number of tropical cyclones have increased in China. The El Niño Southern Oscillation is expected to increase the frequency and strength of tropical cyclones in the Pacific Islands."
151,"Increase in extreme rainfall events","Upland Intensive Mixed",EAP,"Hazard","In the East Asian and Pacific Islands region, extreme precipitation events are projected to increase to 2100, affecting the following countries in particular Malaysia, Myanmar, Philippines, Vietnam and Thailand. In most areas of Vietnam, overall rainfall intensity has increased considerably while monthly rainfall has decreased between the months of July and August and storms in Thailand have become more intense. In China, daily precipitation extremes have increased and heavy rainfall events are projected to increase in frequency and intensity. Further, climate models project an increased probability of extreme rainfall (both frequency and intensity) in the Pacific Islands. In the Philippines, La Niña events result in more intense rainfall and increased flooding."
152,"Increase in average temperatures","Upland Intensive Mixed",EAP,"Hazard","An increase in average temperatures is projected for the East Asia and Pacific Islands region. For example, based on climate data generated by a global circulation model, temperatures in Thailand and Vietnam are projected to increase 2°C–4°C by the end of the century."
153,"Increase in humidity","Upland Intensive Mixed",EAP,"Hazard","An increase in humidity is projected for the Pacific Island region. "
154,"Increase in strong winds","Upland Intensive Mixed",EAP,"Hazard","An increase in strong winds is projected for the Pacific Island region. "
155,"Increase in extreme heat (no. of hot days)","Upland Intensive Mixed",EAP,"Hazard","The East Asian and Pacific Islands region is experiencing an increasing number of hot days. Heat stress impacts are significantly higher in countries such as Myanmar, Philippines, Thailand and Vietnam, and the impacts are much more pronounced in the RCP8.5 scenario."
156,"Increase in average precipitation","Upland Intensive Mixed",EAP,"Hazard","In the East Asian and Pacific Islands region, an increase in average rainfall is projected until 2100 for most of the region, although this varies by location and trends are not spatially coherent nor consistent. In general, it is projected that rainfall will increase in the northern parts of the region and decrease in the south. In Vietnam, monthly rainfall has decreased between the months of July and August, but has increased between September and November. Further, areas in the north and northeast of Thailand are projected to experience higher rainfall, while the opposite was found for provinces located in the southern region."
157,"Decrease in average precipitation","Upland Intensive Mixed",EAP,"Hazard","In the East Asian and Pacific Islands region, an increase in average rainfall is projected until 2100 for most of the region, although this varies by location. For example, in Vietnam, monthly rainfall has decreased between the months of July and August, but has increased between September and November. Further, areas in the north, south and northeast of Thailand are projected to experience higher rainfall, while the opposite was found for provinces located in the southern region."
158,"Increasingly erratic rainfall","Upland Intensive Mixed",EAP,"Hazard","Rainfall has become increasingly unpredictable and distribution is variable."
159,"Shorter growing season","Upland Intensive Mixed",EAP,"Hazard","Some countries such as Indonesia are projected to experience longer dry season."
160,"Increased flooding","Upland Intensive Mixed",EAP,"Impact","The East Asian and Pacific Islands region is experiencing an increase in flooding. Flooding is projected to increase to 2100 in Indonesia, Laos, Malaysia and the Philippines in particular."
